transaction_id,date,time,branch_name,district,channel,transaction_type,card_type,account_type,amount_npr,response_code,response_message,transaction_status,customer_age,customer_gender,processing_time_ms
TXN0000001,2024-01-01,00:43:34,New Baneshwor,Kathmandu,ATM,Mini Statement,Credit Card,Current,0.0,00,Approved,Success,26,Female,1322
TXN0000002,2024-01-01,01:04:46,Dhangadhi Branch,Kailali,Internet Banking,Statement Download,N/A,Savings,0.0,00,Approved,Success,30,,711
TXN0000003,2024-01-01,06:41:33,Hetauda Branch,Makwanpur,ATM,PIN Change,Debit Card,Savings,0.0,00,Approved,Success,58,Female,1633
TXN0000004,2024-01-01,07:46:42,Butwal Branch,Rupandehi,Mobile Banking,Fund Transfer,N/A,Savings,97651.24,00,Approved,Success,56,Female,816
TXN0000005,2024-01-01,08:44:14,Janakpur Branch,Dhanusha,ATM,Mini Statement,Debit Card,Savings,0.0,00,Approved,Success,37,Male,1168
TXN0000006,2024-01-01,10:25:05,Dhangadhi Branch,Kailali,ATM,Balance Inquiry,Debit Card,Savings,0.0,00,Approved,Success,46,Female,1589
TXN0000007,2024-01-01,13:44:20,Dharan Branch,Sunsari,ATM,Mini Statement,Debit Card,Savings,0.0,91,Issuer Unavailable,Timeout,36,Male,888
TXN0000008,2024-01-01,14:29:56,Butwal Branch,Rupandehi,POS,Purchase,Debit Card,Savings,4784.45,00,Approved,Success,18,Female,899
TXN0000009,2024-01-01,14:45:24,New Baneshwor,Kathmandu,Mobile Banking,Balance Inquiry,N/A,Current,0.0,00,Approved,Success,36,Female,987
TXN0000009,2024-01-01,14:45:24,New Baneshwor,Kathmandu,Mobile Banking,Balance Inquiry,N/A,Current,0.0,00,Approved,Success,36,Female,987
TXN0000010,2024-01-01,15:18:49,Biratnagar Main,Morang,POS,Purchase,Debit Card,Savings,469.36,51,Insufficient Funds,Reversed,51,Female,409
TXN0000011,2024-01-01,16:19:49,Lalitpur Branch,Lalitpur,Mobile Banking,Fund Transfer,N/A,Fixed Deposit,4015.81,00,Approved,Success,39,Male,741
TXN0000012,2024-01-01,17:14:03,Dhangadhi Branch,Kailali,Branch Counter,Cash Deposit,N/A,Savings,93842.36,00,Approved,Success,32,Male,740
TXN0000013,2024-01-01,21:07:38,Bharatpur Branch,Chitwan,ATM,PIN Change,Debit Card,Current,0.0,00,Approved,Success,32,Female,1536
TXN0000014,2024-01-02,00:05:45,Janakpur Branch,Dhanusha,Mobile Banking,Fund Transfer,N/A,Savings,86262.87,00,Approved,Success,18,Female,140
TXN0000015,2024-01-02,04:21:11,Birgunj Branch,Parsa,POS,Purchase,Debit Card,Savings,8487.14,00,Approved,Success,58,Female,556
TXN0000016,2024-01-02,07:32:21,Biratnagar Main,Morang,atm,Mini Statement,Debit Card,Savings,0.0,00,Approved,Success,18,Female,1636
TXN0000017,2024-01-02,07:42:27,Lalitpur Branch,Lalitpur,Branch Counter,Account Opening,N/A,Current,0.0,05,Do Not Honor,Timeout,63,Female,177
TXN0000018,2024-01-02,08:39:32,Butwal Branch,Rupandehi,Mobile Banking,QR Payment,N/A,Savings,2418.83,00,Approved,Success,60,Male,80
TXN0000019,2024-01-02,09:05:24,Nepalgunj Branch,Banke,ATM,Balance Inquiry,Debit Card,Savings,0.0,00,Approved,Success,64,Male,1668
